precision,recall
0.2642192347466391,1.0
0.26428756141711923,1.0
0.264355923435075,1.0
0.2644243208279431,1.0
0.2644927536231884,1.0
0.26456122184830444,1.0
0.26462972553081304,1.0
0.2646982646982647,1.0
0.26476683937823836,1.0
0.26483544959834154,1.0
0.26490409538621046,1.0
0.26511024643320363,1.0
0.2651790347690711,1.0
0.26524785881131585,1.0
0.26531671858774664,1.0
0.265385614126201,1.0
0.26545454545454544,1.0
0.2655235126006755,1.0
0.26559251559251557,1.0
0.26566155445801926,1.0
0.265730629225169,1.0
0.2657997399219766,1.0
0.26586888657648283,1.0
0.2659380692167577,1.0
0.26600728787090056,1.0
0.26607654256703983,1.0
0.26614583333333336,1.0
0.2662151601979682,1.0
0.266284523189161,1.0
0.2663539223351577,1.0
0.2664233576642336,1.0
0.2665623369848722,1.0
0.2666318810331333,1.0
0.26670146137787054,1.0
0.26677107804750716,1.0
0.2668407310704961,1.0
0.26691042047531993,1.0
0.2669801462904911,1.0
0.26704990854455185,1.0
0.2672594142259414,1.0
0.2673293225215799,1.0
0.2673992673992674,1.0
0.2674692488877257,1.0
0.2675392670157068,1.0
0.26760932181199265,1.0
0.2676794133053955,1.0
0.26774954152475766,1.0
0.26781970649895176,1.0
0.26810073452256034,1.0
0.26817108370506426,1.0
0.26824146981627295,1.0
0.26831189288527174,1.0
0.26838235294117646,1.0
0.2684528500131337,1.0
0.2685939553219448,1.0
0.268664563617245,1.0
0.2687352090454904,1.0
0.26880589163598106,1.0
0.269018162674388,1.0
0.2690889942074776,1.0
0.2691598630497761,1.0
0.2692307692307692,1.0
0.26930171277997367,1.0
0.2693726937269373,1.0
0.26944371210123913,1.0
0.26951476793248946,1.0
0.2696569920844327,1.0
0.2697281604645025,1.0
0.2697993664202746,1.0
0.2698706099815157,1.0
0.2699418911780243,1.0
0.27001321003963014,1.0
0.2700845665961945,1.0
0.27015596087761035,1.0
0.2702273929138022,1.0
0.27029886273472625,1.0
0.27037037037037037,1.0
0.27044191585075417,1.0
0.27051349920592904,1.0
0.27058512046597827,1.0
0.2706567796610169,1.0
0.2713034244757101,1.0
0.27137546468401486,1.0
0.2714475431606906,1.0
0.27151965993623806,1.0
0.27159181504119057,1.0
0.2716640085061138,1.0
0.27173624036160593,1.0
0.27180851063829786,1.0
0.2718808193668529,1.0
0.27282434596903365,1.0
0.27289719626168224,1.0
0.27297008547008544,1.0
0.27304301362543415,1.0
0.27311598075895244,1.0
0.2732620320855615,1.0
0.2733351163412677,1.0
0.27340823970037453,1.0
0.27348140219427347,1.0
0.27355460385438973,1.0
0.27362784471218204,1.0
0.273701124799143,1.0
0.2737744441467988,1.0
0.27384780278670956,1.0
0.27436241610738255,1.0
0.2744360902255639,1.0
0.27450980392156865,1.0
0.27458355722729716,1.0
0.27465735017468423,1.0
0.2748789671866595,1.0
0.2749529190207156,1.0
0.27502691065662,1.0
0.27510094212651415,1.0
0.27517501346257406,1.0
0.2752491246970105,1.0
0.27532327586206895,1.0
0.27539746699002965,1.0
0.27599243856332706,1.0
0.27606699081577524,1.0
0.2762162162162162,1.0
0.2762908894295756,1.0
0.27636560302866414,1.0
0.2764403570462537,1.0
0.2765151515151515,1.0
0.27658998646820027,1.0
0.2766648619382783,1.0
0.27673977795829946,1.0
0.2768147345612134,1.0
0.2768897317800054,1.0
0.27696476964769645,1.0
0.27703984819734345,1.0
0.27711496746203906,1.0
0.27719012747491184,1.0
0.2772653282691264,1.0
0.2773405698778833,1.0
0.2774158523344191,1.0
0.27749117567200654,1.0
0.27756653992395436,1.0
0.27764194512360774,1.0
0.2777173913043478,1.0
0.2777928784995923,1.0
0.277868406742795,1.0
0.2779439760674463,1.0
0.2780195865070729,1.0
0.2780952380952381,1.0
0.2781709308655416,1.0
0.2782466648516199,1.0
0.27832244008714596,1.0
0.27839825660582945,1.0
0.2784741144414169,1.0
0.2785500136276915,1.0
0.2786259541984733,1.0
0.2787019361876193,1.0
0.27877795962902346,1.0
0.2788540245566166,1.0
0.2789301310043668,1.0
0.279006279006279,1.0
0.2790824685963954,1.0
0.27915869980879543,1.0
0.2792349726775956,1.0
0.27931128723695,1.0
0.2793876435210498,1.0
0.2794640415641236,1.0
0.27954048140043763,1.0
0.2796169630642955,1.0
0.2796934865900383,1.0
0.2797700520120449,1.0
0.27984665936473163,1.0
0.2799233086825527,1.0
0.28,1.0
0.28007673335160316,1.0
0.28015350877192985,1.0
0.2802303262955854,1.0
0.2803071859572134,1.0
0.2803840877914952,1.0
0.28053801811693657,1.0
0.28061504667764964,1.0
0.2806921175501236,1.0
0.28076923076923077,1.0
0.2813102119460501,1.0
0.2813876651982379,1.0
0.28146516111264114,1.0
0.2815426997245179,1.0
0.28162028106916503,1.0
0.28177557209815274,1.0
0.28185328185328185,1.0
0.28208666850676234,1.0
0.28216454997239093,1.0
0.28224247445457057,1.0
0.2823204419889503,1.0
0.28247650635710336,1.0
0.28263274336283184,1.0
0.2827109266943292,1.0
0.2827891532927504,1.0
0.2828674231940216,1.0
0.28294573643410853,1.0
0.2831809365475201,1.0
0.28325942350332595,1.0
0.28333795397837536,1.0
0.2834165280088741,1.0
0.283495145631068,1.0
0.28357380688124306,1.0
0.28365251179572576,1.0
0.28373126041088287,1.0
0.2838100527631214,1.0
0.2838888888888889,1.0
0.2839677688246735,1.0
0.2840466926070039,1.0
0.2841256602724493,1.0
0.28420467185761955,1.0
0.28643497757847536,1.0
0.2865152789458929,1.0
0.2879684418145957,1.0
0.28804960541149943,1.0
0.28813081477304764,1.0
0.2882120699379583,1.0
0.28829337094499297,1.0
0.2883747178329571,1.0
0.2884561106407,1.0
0.2885375494071146,1.0
0.2886190341711381,1.0
0.2887005649717514,1.0
0.2887821418479797,1.0
0.28886376483889203,1.0
0.2889454339836019,1.0
0.28902714932126694,1.0
